Height,Weight,Sex
161.06,52.13,Female
159.08,70.60,Female
157.87,85.82,Female
178.20,71.57,Male
179.05,90.25,Male
175.28,57.98,Male
171.21,74.94,Male
176.12,69.91,Male
155.43,97.98,Male
155.90,61.72,Male
147.82,54.45,Female
134.01,65.26,Female
141.45,62.94,Female
131.12,62.81,Female
140.01,84.12,Female
150.52,74.49,Female
158.61,88.82,Male
163.30,104.58,Male
140.79,62.45,Male
176.00,98.52,Male
159.88,75.61,Female
175.40,76.57,Male
160.34,76.06,Male
190.94,55.79,Male
167.89,88.86,Male
177.36,73.70,Male
168.78,68.27,Male
171.76,90.23,Male
141.40,68.61,Female
137.42,53.22,Female
161.96,70.54,Female
165.13,55.05,Male
171.13,77.79,Male
158.79,66.75,Female
157.47,62.17,Female
155.13,51.06,Female
162.11,56.35,Female
157.30,58.24,Female
139.14,51.78,Female
175.67,71.64,Male
173.34,72.93,Male
145.49,43.44,Female
156.48,64.00,Female
146.23,81.80,Female
132.76,66.20,Female
142.25,83.66,Female
178.77,65.28,Male
165.10,47.33,Male
166.56,62.39,Male
163.21,87.84,Male
143.55,88.00,Male
141.05,66.76,Female
137.27,60.20,Female
161.47,67.03,Male
179.57,80.47,Male
177.22,63.66,Male
153.93,72.61,Male
160.53,63.31,Female
148.88,81.01,Female
164.37,71.42,Female
175.62,83.99,Male
178.62,80.94,Male
174.33,91.15,Male
180.87,75.98,Male
152.29,49.65,Female
151.43,62.83,Female
152.28,77.08,Female
154.66,48.50,Female
158.65,80.30,Female
139.12,57.10,Female
157.23,69.38,Male
155.66,68.18,Female
144.51,72.26,Female
147.57,64.44,Female
139.96,71.00,Female
143.17,81.15,Female
144.28,59.36,Female
169.95,81.65,Male
179.40,89.32,Male
178.54,75.10,Male
144.06,81.77,Female
137.69,60.13,Female
158.60,64.21,Female
156.95,80.99,Male
200.45,98.51,Male
167.42,63.36,Male
157.52,62.54,Female
158.89,65.87,Female
172.14,95.25,Female
148.35,70.62,Male
169.72,71.49,Male
153.64,70.97,Male
156.82,61.65,Male
171.01,100.84,Male
186.56,72.53,Male
154.46,43.66,Female
149.23,62.44,Female
159.53,52.87,Female
149.31,76.89,Female
150.38,54.96,Female
144.03,60.84,Female
172.25,55.10,Female
166.83,86.57,Male
146.97,74.75,Male
152.16,85.93,Male
146.02,43.19,Female
150.02,59.61,Female
162.93,88.16,Male
164.99,93.50,Male
182.54,91.86,Male
147.14,45.38,Female
167.13,56.11,Male
162.45,64.92,Male
181.20,22.40,Male
164.56,51.84,Male
175.50,64.03,Male
160.82,50.22,Female
154.26,70.04,Female
180.82,98.12,Male
174.52,93.17,Male
175.03,58.02,Male
182.38,74.65,Male
144.68,47.65,Female
157.93,47.64,Female
157.05,70.48,Female
149.59,61.75,Female
176.79,71.89,Male
163.76,75.80,Male
171.10,69.22,Female
126.97,67.00,Female
170.17,80.69,Male
160.86,58.80,Male
134.74,70.74,Female
162.13,59.92,Female
132.10,54.17,Female
134.44,25.50,Female
122.50,45.81,Female
137.74,64.94,Female
166.30,67.96,Male
154.05,68.43,Female
158.69,72.18,Male
163.26,60.35,Male
163.23,48.66,Male
164.57,92.37,Male
188.35,74.13,Male
173.27,80.98,Male
159.88,53.42,Female
165.01,62.52,Female
160.78,81.59,Female
147.37,48.37,Female
177.71,70.76,Male
164.29,63.88,Male
171.62,57.53,Male
183.78,79.90,Male
